epoch,train_loss,train_rmse_fcnm,train_rmse_rhi,val_loss,val_rmse_fcnm,val_rmse_rhi,test_loss,test_rmse_fcnm,test_rmse_rhi,learning_rate
1.0,2.7439517985510835,0.1240615490328923,2.290020056388604,1.4668019432349981,0.09074419168520236,0.35983913347504337,1.4893092338974152,0.09113832580103962,0.3771592847330372,0.001
2.0,0.8203010623123381,0.07453731125530579,1.2707374572561307,0.8215348038860876,0.06375618340681666,0.2663592460985631,0.8386416331997317,0.06417842255042783,0.2815739940182779,0.001
3.0,0.5873630198219966,0.06590106804074958,1.0903727082640713,0.9255408048690393,0.08256430447183957,0.2789025118780776,0.9340709368399985,0.08281974240613345,0.29153626678986333,0.001
4.0,0.48537086788935924,0.06191529880768854,0.9768333147606009,0.5963268779230703,0.0803219532617899,0.2202281308398855,0.6089617798185364,0.08125661084500596,0.24821075824597005,0.001
5.0,0.40926164530164094,0.0592797451850691,0.8572896750386946,0.499845605722722,0.05942784723491779,0.21143435692830434,0.5091406067188169,0.060216722929006095,0.23261848047676606,0.001
6.0,0.3849115176388703,0.05796154189620864,0.9576993361864609,0.6001385534338982,0.08492947694985532,0.22108595852802532,0.612079708536669,0.08543545882638443,0.24311447172625852,0.001
7.0,0.323810903562927,0.054886015422254124,0.813825478060732,0.4919427318467134,0.06566684455571963,0.20745397357406403,0.4965524054306369,0.06584616918760765,0.23116769616169525,0.001
8.0,0.30728315973381126,0.051172648302528705,0.8506174971185446,0.4517590245533727,0.0699388280881554,0.19907887502280847,0.4578091459814116,0.07027391840367256,0.2231189372519402,0.001
9.0,0.2774883660665146,0.050200484923771174,0.7776259649326406,0.3869378313397192,0.05359157359140198,0.18902753749784015,0.38561629488977434,0.05425281965234307,0.21643487254236324,0.001
10.0,0.27673531451467387,0.0517578837720946,0.7940045635392562,0.33628660052549403,0.04599440917329593,0.1834372765754051,0.3439652132218229,0.04660809058803404,0.2104586142446366,0.001
11.0,0.23685141333115153,0.04738452130211841,0.7232889166014008,0.3151061171201098,0.052100686686403344,0.17964148854943843,0.3216352423947697,0.0527958937197066,0.21147562833354985,0.001
12.0,0.22602028890195033,0.047472877458304565,0.7019693410044204,0.3284493368085843,0.05259599531378954,0.1807045497705418,0.33703316632217795,0.052996107819844894,0.20730672890890975,0.001
13.0,0.2164288754127846,0.04696208799819271,0.6907161542541441,0.29875305736697305,0.05194489288020891,0.17796701249315988,0.30760225183205064,0.05264062186741909,0.20639533026489829,0.001
