epoch,train_loss,val_loss,train_rmse_RHI,train_rmse_fcnm,val_rmse_RHI,val_rmse_fcnm,lr
1,1.4203972325722183,1.402752295949142,0.16898803412914276,0.16930173337459564,0.16831059753894806,0.16785715520381927,0.001
2,1.354391302511255,1.3680876621060152,0.16529208421707153,0.1665639728307724,0.1662135124206543,0.16577856242656708,0.001
3,1.3987582481213523,1.400016892174516,0.16898788511753082,0.1685599386692047,0.16830727458000183,0.16736608743667603,0.001
4,1.3766847354335647,1.3535521851601497,0.16391505300998688,0.1652574986219406,0.16526833176612854,0.16501708328723907,0.001
5,1.355170510269558,1.315334515356493,0.1610787808895111,0.16366827487945557,0.16278977692127228,0.16293121874332428,0.001
6,1.3002894310409694,1.3032248252684229,0.1608215570449829,0.1625879853963852,0.1619926244020462,0.1622724086046219,0.001
7,1.2964653887331323,1.3192119339650077,0.16282843053340912,0.16316375136375427,0.16284394264221191,0.16354626417160034,0.001
8,1.2673658459327577,1.2743651036040182,0.1602759063243866,0.16074520349502563,0.16025272011756897,0.16033709049224854,0.001
9,1.275214775877051,1.3101436514844733,0.16215847432613373,0.16130714118480682,0.16326992213726044,0.16097593307495117,0.001
10,1.2539754515468018,1.241620358774591,0.15656813979148865,0.1582440733909607,0.15826384723186493,0.15809474885463715,0.001
11,1.2305521588781165,1.2217964769665957,0.15444742143154144,0.1566317081451416,0.15685656666755676,0.15710832178592682,0.001
12,1.2657323513936112,1.2102244743072825,0.1540222018957138,0.15672516822814941,0.15618880093097687,0.1562076210975647,0.001
13,1.2270442001940411,1.1870424296547821,0.15287913382053375,0.15500709414482117,0.1545383185148239,0.15500174462795258,0.001
14,1.225419453091071,1.215243047190409,0.15497805178165436,0.15646065771579742,0.1564921885728836,0.15657101571559906,0.001
15,1.186230965234075,1.1668509823223825,0.15100620687007904,0.1534661203622818,0.1530950516462326,0.15392649173736572,0.001
16,1.1692112719408665,1.1466435297819488,0.15045830607414246,0.15222878754138947,0.1515672504901886,0.1529822200536728,0.001
17,1.1786222680039493,1.1427727938359535,0.14867036044597626,0.15100637078285217,0.15166251361370087,0.15201689302921295,0.001
18,1.1527243952568986,1.145441515693869,0.15076525509357452,0.1525210291147232,0.15171056985855103,0.15245415270328522,0.001
19,1.1704115979119438,1.133122384338816,0.14822010695934296,0.1513276845216751,0.1507570445537567,0.15190501511096954,0.001
20,1.1433460122434191,1.138762305902011,0.14949332177639008,0.15120431780815125,0.151239275932312,0.1520659178495407,0.001
21,1.1287010674810942,1.1643929777050177,0.15053215622901917,0.15172220766544342,0.15334807336330414,0.15292595326900482,0.001
22,1.1237621305700671,1.0925690225718268,0.1459045112133026,0.1474892795085907,0.14814285933971405,0.14894409477710724,0.001
23,1.1170662941736194,1.0904600749639073,0.14563308656215668,0.1476314663887024,0.14782388508319855,0.14915375411510468,0.001
24,1.1088559427081202,1.0874470391672846,0.14423486590385437,0.14691707491874695,0.14790043234825134,0.14838236570358276,0.001
25,1.0780705503917885,1.062690736185625,0.14329802989959717,0.1446654498577118,0.14612917602062225,0.14684146642684937,0.001
26,1.0800410024392726,1.0776021582380773,0.14252638816833496,0.1448352187871933,0.14722546935081482,0.14771722257137299,0.001
27,1.072411907667795,1.0828982382478325,0.1449757069349289,0.14809374511241913,0.14729876816272736,0.1486591398715973,0.001
28,1.0627603579460476,1.067441823698937,0.14363308250904083,0.14421072602272034,0.14684748649597168,0.14637638628482819,0.001
29,1.0652455061684813,1.0342784228309903,0.1415720134973526,0.14352771639823914,0.1441364586353302,0.14491721987724304,0.001
30,1.0524465288253582,1.0300802218977945,0.13998429477214813,0.14237548410892487,0.14380070567131042,0.1447095274925232,0.001
31,1.0400038951878634,1.0554912760068627,0.1427338719367981,0.14400111138820648,0.14591632783412933,0.1457715630531311,0.001
32,1.0424138904220692,1.018480821267627,0.14027084410190582,0.14196918904781342,0.1430393010377884,0.14379046857357025,0.001
