epoch,train_loss,val_loss,val_rmse_fcnm,val_rmse_rhi,learning_rate
1.0,2.6344042766124804,1.1266488531411807,0.10903785893546944,0.3326747566650151,0.001
2.0,0.6703292496556441,0.6412150441408825,0.08421221253164939,0.24418652763445955,0.001
3.0,0.4864180280641499,0.4397853910771423,0.06614849777319874,0.21022772394473224,0.001
4.0,0.4049448607429507,0.3306661690217021,0.0681351381343075,0.1934842567353621,0.001
5.0,0.34977853995866376,0.40041569189085285,0.06400931186782578,0.20498715977668092,0.001
6.0,0.3025785730599457,0.31530788295051704,0.06428736478397692,0.18687081490407137,0.001
7.0,0.27190791591560565,0.3007918131444845,0.06754882399698182,0.18768957318444665,0.001
8.0,0.25678666984777493,0.3811016433226311,0.08112226906185124,0.19814253183017805,0.001
9.0,0.23045489167330835,0.4197387515734598,0.07731723914520572,0.20497480446110275,0.001
10.0,0.2213679318823968,0.26305773463859045,0.05552735176946894,0.1839148399173153,0.001
11.0,0.19768598431406975,0.20818837217042613,0.05025263421597919,0.1724197865755386,0.001
12.0,0.18124097549407978,0.21654951842838555,0.053785553501498586,0.1731320213205708,0.001
13.0,0.194207495860538,0.23202575515675453,0.054534348021439034,0.17565864038584256,0.001
14.0,0.16038201281089826,0.1843636989298681,0.053051799972580166,0.16495388508438352,0.001
15.0,0.16302023730876214,0.17765725388903927,0.04937850931382143,0.16534250630197425,0.001
16.0,0.1445627602427616,0.17899651132513783,0.047507148507748086,0.16434340762627211,0.001
17.0,0.1354994482932731,0.19085341442354964,0.0526203537645763,0.16996666814646486,0.001
18.0,0.1320931419798236,0.17287430403664397,0.05222991812722264,0.16809016375126282,0.001
19.0,0.11975563168075821,0.19971459652012274,0.04809819259364739,0.17255744785080826,0.001
20.0,0.1155371990466818,0.1567582077806269,0.046031139684969045,0.1628286384833319,0.001
21.0,0.11472260739105297,0.14909312759294108,0.044860679190896535,0.16104805121614832,0.001
22.0,0.1081496321543153,0.15212026559603517,0.04527719376189801,0.15894246080762153,0.001
23.0,0.1035804947142597,0.14956512729694216,0.044539316195296864,0.16292856769545738,0.001
24.0,0.09707385821142309,0.13868624012108027,0.043092422728256384,0.16185404174437462,0.001
25.0,0.09407163649101839,0.14749083649311198,0.04406354221476086,0.16466450725746024,0.001
26.0,0.10364263878500829,0.14119686493795502,0.04302853633532745,0.16087235461043753,0.001
27.0,0.13975312666237105,0.14453684313922027,0.04599138336116388,0.15533253539642963,0.001
28.0,0.08391226714833848,0.1311903128354118,0.042646135714115886,0.15794599437299148,0.001
29.0,0.07859630239764509,0.12404316008912541,0.04212841325754383,0.15878265151218174,0.001
30.0,0.07809026513981697,0.1285119990928904,0.04385733242047783,0.1543700057572146,0.001
31.0,0.0781296182357709,0.1281315148317082,0.042511901616419656,0.16041069769726807,0.001
32.0,0.07501238608672799,0.1347340971317104,0.04230652406505709,0.1612050099365233,0.001
33.0,0.0727481464942998,0.14081314972137474,0.04622762387470939,0.15868048232594195,0.001
34.0,0.0740308621125173,0.12966905448017887,0.040657602929136054,0.1626226039693643,0.001
35.0,0.06985187293220925,0.1262285561589718,0.04167314090453452,0.15827671831939602,0.0005
36.0,0.04620423098873185,0.11263590851924371,0.03890254950994993,0.15507357022445498,0.0005
37.0,0.04410097575472842,0.11096930703136214,0.03969600787713764,0.1551737707722924,0.0005
38.0,0.05016085733183782,0.12858143080033302,0.041143034934270004,0.15810739726308695,0.0005
39.0,0.04407237430390096,0.11143874223214474,0.03947088867376321,0.1562444795028421,0.0005
40.0,0.042002227354113575,0.11581307453883578,0.03968883016708153,0.15614485927966223,0.0005
41.0,0.04209204570044692,0.11001337223188097,0.03847222597978636,0.15735140648628798,0.0005
42.0,0.040305474712419825,0.11428879423516126,0.039342112538848596,0.15772280086885268,0.0005
43.0,0.03973638129616724,0.11192814958410233,0.03794141825272341,0.15824972934238135,0.0005
44.0,0.03949392464154686,0.11151365708203725,0.03869104032142098,0.15550175796339563,0.0005
45.0,0.03924526169625673,0.10793453230176826,0.03760958297733055,0.1553404429519449,0.0005
46.0,0.03797423669542491,0.11316714904162922,0.03726393886890243,0.1588804279160954,0.0005
47.0,0.03700504992766358,0.11227404200047274,0.037447484586668085,0.1597435904159492,0.0005
48.0,0.03689541813377157,0.10795021119466555,0.03688108666989962,0.15842012875256017,0.0005
49.0,0.0380455077678853,0.10833054570262621,0.03693903236993697,0.15569142817658893,0.0005
50.0,0.035413702104103155,0.10777128829185599,0.03717893933792119,0.15519725177210736,0.0005
51.0,0.03656934895949355,0.1085573973010148,0.03818042577463534,0.1560500555657312,0.0005
52.0,0.03552852449112041,0.1094921315687139,0.03838348797910779,0.1555615080658061,0.0005
53.0,0.03454358745056437,0.11283955092546469,0.03832683962123333,0.15717639902946792,0.0005
54.0,0.03339164922944516,0.10359515435586297,0.036429019677545284,0.1562177196174645,0.0005
55.0,0.03422757608922619,0.10663205103078165,0.03728274086279085,0.15419953131282008,0.0005
56.0,0.03663507936346282,0.10466188713976407,0.03710877172988717,0.15368254594491315,0.0005
57.0,0.033022492749542415,0.10675208935383639,0.03731036108235005,0.15506926932234463,0.0005
58.0,0.032305370916899744,0.10474495490788686,0.03576968696428372,0.1558115661993269,0.0005
59.0,0.03402168101379964,0.10579333167370997,0.03720915827878751,0.15408570428307466,0.0005
60.0,0.03334014757302954,0.1091211951397866,0.03685890453240151,0.15800431323800154,0.00025
61.0,0.02509921999857184,0.10159808932961073,0.03568493793026435,0.153576975816214,0.00025
62.0,0.023800786519712774,0.10233443269252104,0.03609003772445103,0.15345824842731517,0.00025
63.0,0.024554119355129495,0.10095548948535392,0.03630730252758,0.15415749088560712,0.00025
64.0,0.02490449721678164,0.1010431647247667,0.036114772274017236,0.15390203397695496,0.00025
65.0,0.023390932553234187,0.10162369563287342,0.035548653620246166,0.1541730515992163,0.00025
66.0,0.023974336930023998,0.1006344366413377,0.03549099775367664,0.15427714877807808,0.00025
67.0,0.02368723341917423,0.10019731926024308,0.03516196721010419,0.15403532104785556,0.00025
68.0,0.024517863443718098,0.10139682021525037,0.03522315173570298,0.1546834063996191,0.00025
69.0,0.02286028635941602,0.10091954510588684,0.03576021707180894,0.15358857322961028,0.00025
70.0,0.023662997495301354,0.10211425067437313,0.036135216088827436,0.15424432145953598,0.00025
71.0,0.023870853830960586,0.09987285754936927,0.03560071248581768,0.15243544979274457,0.00025
72.0,0.022234335979053586,0.10041644435227569,0.03623545819679793,0.15355577934693468,0.00025
