epoch,train_loss,val_loss,val_rmse_fcnm,val_rmse_rhi,learning_rate
1.0,2.6233615217579493,1.105104747593303,0.14414402480208827,0.298998271747468,0.001
2.0,0.668771220665464,0.8360114994090181,0.11248162293109353,0.26894573817264933,0.001
3.0,0.4884122475543937,0.4993694180295945,0.09679199804784573,0.20764685764789864,0.001
4.0,0.4232402232503224,0.38678537274836694,0.0897096644920546,0.1830044682423765,0.001
5.0,0.3457802289374877,0.4200644666450954,0.08071637873016911,0.1915138625169146,0.001
6.0,0.31565703473193324,0.3734526169075133,0.08420597607391926,0.18977136618346027,0.001
7.0,0.2868825063551883,0.3068051774635131,0.07799333764645153,0.1729863782992828,0.001
8.0,0.26504382765023654,0.41594092556306267,0.08798893839936625,0.18883472223970146,0.001
9.0,0.23398821350439225,0.2949519314621807,0.07984076569823188,0.1690344719511137,0.001
10.0,0.2243266135902266,0.264483219233263,0.07044855544449768,0.16874227323588098,0.001
11.0,0.20073645789611463,0.2360159175039508,0.06663575002590702,0.16571994795537853,0.001
12.0,0.18654204006209713,0.23013662800202686,0.06173924991290283,0.16414416684145536,0.001
13.0,0.17923686795715452,0.21308148670239582,0.062428673642874244,0.16258476284625858,0.001
14.0,0.1620794880313575,0.38827646040133074,0.08210807451074781,0.19433440976611246,0.001
15.0,0.16279516376230105,0.2024337835403384,0.05791886481259019,0.16328952267116412,0.001
16.0,0.14156038286912653,0.21214153858520426,0.06036299432817904,0.16371375538592273,0.001
17.0,0.1388633051608287,0.19069012079211123,0.06067726677078751,0.16003908546804643,0.001
18.0,0.13215447960761498,0.18293602629775257,0.05841738883884861,0.1598968269958626,0.001
19.0,0.11773401324188004,0.18494715387936037,0.056798556149108254,0.15894531183159766,0.001
20.0,0.11856906838869487,0.1627765922956322,0.05288741378602757,0.15908275632323896,0.001
21.0,0.11202588635293505,0.15290643893688938,0.05244029886772054,0.15192116717954712,0.001
22.0,0.10868807227019878,0.17880725607228215,0.05574769102125646,0.15654463596063797,0.001
23.0,0.10003903831970161,0.15244001803065987,0.05173146919134669,0.15208740656611627,0.001
24.0,0.09868614500557338,0.1788603802770111,0.05544014830121128,0.15760366975351595,0.001
25.0,0.09420574888288245,0.15621993643549584,0.05414921511595516,0.15646181989222344,0.001
26.0,0.09156903396385674,0.16011676747524498,0.05283454628609102,0.15196051377520545,0.001
27.0,0.0825861702406222,0.15300298252041927,0.05635851924352311,0.15346151598442453,0.001
28.0,0.09125254927990391,0.16000181825722679,0.052436400949249465,0.15957882397450646,0.001
29.0,0.08357937447573452,0.14641714643427997,0.04940924238264089,0.15623153463472791,0.001
30.0,0.07699108756583907,0.13971520805566856,0.050276422098472155,0.1526415878574768,0.001
31.0,0.08236745284914392,0.14045260705720383,0.050534013815152344,0.15360778551344206,0.001
32.0,0.06941807417958494,0.1342894973761128,0.047354598595801434,0.15318509756644008,0.001
