epoch,train_loss,val_loss,val_rmse_fcnm,val_rmse_rhi,learning_rate
1.0,2.6636354938654465,0.79495982608768,0.09870532936953094,0.2707794104875994,0.001
2.0,0.6854144195403435,0.7212426167882039,0.09540046909249611,0.2638070950898203,0.001
3.0,0.5098788501582604,0.41120932988466624,0.06356290889710593,0.20588165322465604,0.001
4.0,0.40590215669514446,0.30005306631431267,0.057910350993314576,0.19093227278640273,0.001
5.0,0.3651118045580455,0.25023896708674487,0.057360568590917434,0.1809458717231808,0.001
6.0,0.32082299869741115,0.3145236779086,0.06053724078210929,0.20297261101286393,0.001
7.0,0.30727570019112826,0.3302533906753706,0.06287098971520533,0.1918430259897264,0.001
8.0,0.27110496089000874,0.3206793434815989,0.06581995732630161,0.19004194006771452,0.001
9.0,0.24463706924700854,0.23194923008845203,0.05447301784740669,0.17195491436928176,0.001
10.0,0.22661011103704104,0.21830723027578236,0.049213381593876615,0.17760872033337796,0.001
11.0,0.21151926167237295,0.20691783334075553,0.04789572217982599,0.1720662638242193,0.001
12.0,0.19051933538611904,0.18836574146713453,0.0466712339124487,0.1732952293396506,0.001
13.0,0.190111077536724,0.27215718761989127,0.05927055643343839,0.17916538377605887,0.001
14.0,0.173611945705416,0.17748761076830114,0.04565564774043823,0.16479145319849375,0.001
15.0,0.16636062468746401,0.17135866226223986,0.047621107130099316,0.16377644599929733,0.001
16.0,0.16053216425297545,0.18609984069767055,0.047333712440339695,0.16313416545155873,0.001
17.0,0.1416843529889324,0.1664098548043945,0.04724941213004614,0.1631256681702342,0.001
18.0,0.13838394561829082,0.16530367109959987,0.04712145185741886,0.15954349125168488,0.001
19.0,0.12699865474741126,0.1625846609333774,0.04424052809407384,0.16450851405588876,0.001
20.0,0.12081097695666516,0.1411589666004311,0.04188883926452282,0.1563401339208449,0.001
21.0,0.11557703890249213,0.15079820969253194,0.04096604555790714,0.15875625019183895,0.001
22.0,0.11068839247104284,0.13625704278822415,0.04208453516968379,0.15646381468784568,0.001
23.0,0.10797867691075577,0.13953787382157964,0.04280489091363832,0.15376994234654942,0.001
24.0,0.10259945628469595,0.1316244522498338,0.04058564768383711,0.15558175234043725,0.001
25.0,0.09294783878335576,0.13176963422886082,0.0407222274434784,0.155011227856529,0.001
26.0,0.09421701945042539,0.13923351264901543,0.040422622437066374,0.1572697341415039,0.001
27.0,0.08889663720026686,0.13214817234010823,0.04465485715176381,0.15346293633476446,0.001
28.0,0.09019466248115353,0.1294456726494989,0.03941719037224535,0.15488769107019323,0.001
29.0,0.08647603694634942,0.12550448975029604,0.04073049056512883,0.15575403976741956,0.001
30.0,0.08354779395176525,0.11717572061729713,0.03860198590611454,0.1540434612227854,0.001
31.0,0.07841213387078519,0.11982826188977462,0.04005797679921262,0.15436662447773855,0.001
32.0,0.07817751982767138,0.127869979207989,0.04041386942465286,0.15379216765234915,0.001
33.0,0.07463587144954761,0.12350318700425301,0.04125182952766741,0.1545088287369943,0.001
34.0,0.07235911198396405,0.11530435123532914,0.037411636047656356,0.15361066119684097,0.001
35.0,0.07268679720123652,0.11979815583600499,0.03967112585671507,0.15609191446298412,0.001
36.0,0.06606410640858724,0.12333529058025883,0.040735204253448044,0.15458495281770507,0.001
